sessid,rat,date,tethered
616723,T181,06-Jul-2018 00:00:00,1
617573,T181,09-Jul-2018 00:00:00,1
617860,T181,10-Jul-2018 00:00:00,1
618160,T181,11-Jul-2018 00:00:00,1
618467,T181,12-Jul-2018 00:00:00,1
618762,T181,13-Jul-2018 00:00:00,1
619571,T181,16-Jul-2018 00:00:00,1
621557,T181,23-Jul-2018 00:00:00,1
621768,T181,24-Jul-2018 00:00:00,1
622038,T181,25-Jul-2018 00:00:00,1
622340,T181,26-Jul-2018 00:00:00,1
623509,T181,30-Jul-2018 00:00:00,1
623801,T181,31-Jul-2018 00:00:00,1
624480,T181,02-Aug-2018 00:00:00,1
624706,T181,03-Aug-2018 00:00:00,1
625876,T181,07-Aug-2018 00:00:00,1
626516,T181,09-Aug-2018 00:00:00,1
627705,T181,13-Aug-2018 00:00:00,1
628011,T181,14-Aug-2018 00:00:00,1
632719,T181,01-Sep-2018 00:00:00,1
633896,T181,05-Sep-2018 00:00:00,1
634167,T181,06-Sep-2018 00:00:00,1
634446,T181,07-Sep-2018 00:00:00,1
635293,T181,10-Sep-2018 00:00:00,1
635840,T181,12-Sep-2018 00:00:00,1
636028,T181,13-Sep-2018 00:00:00,1
637168,T181,17-Sep-2018 00:00:00,1
637429,T181,18-Sep-2018 00:00:00,1
637708,T181,19-Sep-2018 00:00:00,1
637995,T181,20-Sep-2018 00:00:00,1
638292,T181,21-Sep-2018 00:00:00,1
639149,T181,24-Sep-2018 00:00:00,1
639444,T181,25-Sep-2018 00:00:00,1
639895,T181,27-Sep-2018 00:00:00,1
640502,T181,01-Oct-2018 00:00:00,1
640787,T181,02-Oct-2018 00:00:00,1
640963,T181,03-Oct-2018 00:00:00,1
641272,T181,04-Oct-2018 00:00:00,1
648410,T181,29-Oct-2018 00:00:00,1
648699,T181,30-Oct-2018 00:00:00,1
648963,T181,31-Oct-2018 00:00:00,1
649152,T181,01-Nov-2018 00:00:00,1
597597,T181,28-Apr-2018 00:00:00,0
597883,T181,29-Apr-2018 00:00:00,0
598174,T181,30-Apr-2018 00:00:00,0
598464,T181,01-May-2018 00:00:00,0
598755,T181,02-May-2018 00:00:00,0
599063,T181,03-May-2018 00:00:00,0
599355,T181,04-May-2018 00:00:00,0
599642,T181,05-May-2018 00:00:00,0
599908,T181,06-May-2018 00:00:00,0
600224,T181,07-May-2018 00:00:00,0
600510,T181,08-May-2018 00:00:00,0
600822,T181,09-May-2018 00:00:00,0
601089,T181,10-May-2018 00:00:00,0
601357,T181,11-May-2018 00:00:00,0
601624,T181,12-May-2018 00:00:00,0
601900,T181,13-May-2018 00:00:00,0
602170,T181,14-May-2018 00:00:00,0
602446,T181,15-May-2018 00:00:00,0
602764,T181,16-May-2018 00:00:00,0
602775,T181,16-May-2018 00:00:00,0
603065,T181,17-May-2018 00:00:00,0
603350,T181,18-May-2018 00:00:00,0
603625,T181,19-May-2018 00:00:00,0
603640,T181,19-May-2018 00:00:00,0
603900,T181,20-May-2018 00:00:00,0
604213,T181,21-May-2018 00:00:00,0
604478,T181,22-May-2018 00:00:00,0
720494,T212,09-Aug-2019 00:00:00,1
721681,T212,13-Aug-2019 00:00:00,1
721980,T212,14-Aug-2019 00:00:00,1
722304,T212,15-Aug-2019 00:00:00,1
722610,T212,16-Aug-2019 00:00:00,1
722565,T212,16-Aug-2019 00:00:00,1
723222,T212,18-Aug-2019 00:00:00,1
723547,T212,19-Aug-2019 00:00:00,1
723886,T212,20-Aug-2019 00:00:00,1
724195,T212,21-Aug-2019 00:00:00,1
699394,T212,26-May-2019 00:00:00,0
699693,T212,27-May-2019 00:00:00,0
700031,T212,28-May-2019 00:00:00,0
700339,T212,30-May-2019 00:00:00,0
700625,T212,30-May-2019 00:00:00,0
700945,T212,01-Jun-2019 00:00:00,0
701227,T212,01-Jun-2019 00:00:00,0
701503,T212,02-Jun-2019 00:00:00,0
701839,T212,05-Jun-2019 00:00:00,0
702123,T212,06-Jun-2019 00:00:00,0
702446,T212,07-Jun-2019 00:00:00,0
702628,T212,08-Jun-2019 00:00:00,0
702925,T212,09-Jun-2019 00:00:00,0
703236,T212,10-Jun-2019 00:00:00,0
703561,T212,11-Jun-2019 00:00:00,0
703881,T212,12-Jun-2019 00:00:00,0
704193,T212,13-Jun-2019 00:00:00,0
704511,T212,14-Jun-2019 00:00:00,0
