recording_name,rat_name,date,channel_map,reference,used_in_chronic_npx_ms,cells_file,task,notes,probe serial number,ap.bin SHA1,sorted,perturbation,artifacts,representative behavior session,approximate duration (s)
T176_2018_04_27          ,T176,2018_04_27          ,bank0,0,,,PBups,,,,,,,,
T176_2018_04_30          ,T176,2018_04_30          ,bank0,0,,,PBups,,,,,,,,
T176_2018_05_01          ,T176,2018_05_01          ,bank0,0,,,PBups,,,,,,,,
T176_2018_05_02          ,T176,2018_05_02          ,bank0,0,,,PBups,,,,,,,,
T176_2018_05_03          ,T176,2018_05_03,bank0,0,,,PBups,,,,,,,,
T176_2018_05_04          ,T176,2018_05_04,bank0,0,,,PBups,,,,,,,,
T176_2018_05_07          ,T176,2018_05_07,bank0,0,,,PBups,,,,,,,,
T176_2018_05_08          ,T176,2018_05_08,bank0,0,,,PBups,,,,,,,,
T176_2018_05_09          ,T176,2018_05_09,bank0,0,,,PBups,,,,,,,,
T176_2018_05_10          ,T176,2018_05_10,bank0,0,,,PBups,,,,,,,,
T176_2018_05_15          ,T176,2018_05_15,bank0,0,,,PBups,,,,,,,,
T176_2018_05_16          ,T176,2018_05_16,bank0,0,,,PBups,,,,,,,,
T176_2018_05_18          ,T176,2018_05_18,bank0,0,,,PBups,,,,,,,,
T176_2018_05_21          ,T176,2018_05_21,bank0,0,,,PBups,,,,,,,,
T176_2018_05_22          ,T176,2018_05_22,bank0,0,,,PBups,,,,,,,,
T176_2018_05_23          ,T176,2018_05_23,bank0,0,,,PBups,,,,,,,,
T176_2018_05_25          ,T176,2018_05_25,bank0,0,,,PBups,,,,,,,,
T176_2018_05_28          ,T176,2018_05_28,bank0,0,,,PBups,,,,,,,,
T176_2018_05_29          ,T176,2018_05_29,bank0,0,,,PBups,,,,,,,,
T176_2018_05_30          ,T176,2018_05_30,bank0,0,,,PBups,,,,,,,,
T176_2018_05_31          ,T176,2018_05_31,bank0,0,,,PBups,,,,,,,,
T176_2018_06_01          ,T176,2018_06_01,bank0,0,,,PBups,,,,,,,,
T176_2018_06_04          ,T176,2018_06_04,bank0,0,,,PBups,,,,,,,,
T176_2018_06_05          ,T176,2018_06_05,bank0,0,,,PBups,,,,,,,,
T176_2018_06_06          ,T176,2018_06_06,bank0,0,,,PBups,,,,,,,,
T176_2018_06_07          ,T176,2018_06_07,bank0,0,,,PBups,,,,,,,,
T176_2018_06_08          ,T176,2018_06_08,bank0,0,,,PBups,,,,,,,,
T176_2018_06_11          ,T176,2018_06_11,bank0,0,,,PBups,,,,,,,,
T227_2020_03_14_idle_bank0,T227,2020_03_14,bank0,1,,,,,,,,,,,
T227_2020_03_14_idle_bank1,T227,2020_03_14,bank0,1,,,,,,,,,,,
T227_2020_03_15_idle_bank0,T227,2020_03_15,bank0,1,,,,,,,,,,,
T227_2020_03_15_idle_bank1,T227,2020_03_15,bank0,1,,,,,,,,,,,
T249_2020_03_16_idle_bank0_g0,T239,2020_03_16,bank0,0,,,,,,,,,,,
